Title,Price,Category,Image url
106C 10uF 16V (5234),0.8,კონდენსატორები,https://store.edison.ge/wp-content/uploads/2018/11/106C-10uF-16V-352x225.jpg
107A 100uF 16V (5228),1.5,კონდენსატორები,https://store.edison.ge/wp-content/uploads/2018/11/107A-100uF-6V.jpg
2.2nf 10KV (58174),2.5,კერამიკული,https://store.edison.ge/wp-content/uploads/2022/01/Had589e03e77a4be891494b96d15a8898f-352x225.jpg
2.2nf 15KV (58172),4.5,კერამიკული,https://store.edison.ge/wp-content/uploads/2022/01/61T2hw1mQyL._SL1500_-352x225.jpg
226E 22uF 25V (5237),0.8,კონდენსატორები,https://store.edison.ge/wp-content/uploads/2018/11/226E-22uF-25V-225x225.jpg
2cl73A (58169),2.5,დიოდები,https://store.edison.ge/wp-content/uploads/2022/01/207775-15210461-352x225.jpg
2cl77(5ma20kv) (58167),3.0,დიოდები,https://store.edison.ge/wp-content/uploads/2022/01/download.png
475C 4.7uF 16V (5231),0.8,კონდენსატორები,https://store.edison.ge/wp-content/uploads/2018/11/475C-4.7uF-16V.jpg
530 A 10MQ100N SMD 100V 2A (6038),0.9,SMD,https://store.edison.ge/wp-content/uploads/2018/12/530-A-10MQ100N-SMD-100V-2A-225x225.jpg
AT93C66   (41584),3.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/02/ua741-smd_1-352x225.jpg
BT131-600   (44550),0.8,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/04/BT131-600-198x225.jpg
BT134-600E 4A 600V    (44557),2.9,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/04/41WtXL3CEmL._SX342_-342x225.jpg
BT137-800E   (44555),2.6,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/04/BT137-800E-300x225.jpg
BT138-800E   (44546),2.8,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/04/bt138-800-352x225.jpg
BT138B-600E    (41242),11.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/02/R0509409-01-352x225.jpg
BT139-800E   (44553),3.5,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/04/BT139-800E-342x225.jpg
BT151-600R   (44540),2.5,ტირისტორები,https://store.edison.ge/wp-content/uploads/2021/04/bt151-600-352x225.png
BT151S (4901),3.0,ტირისტორები,https://store.edison.ge/wp-content/uploads/2018/11/BT151S.jpg
BTA16-600c   (44537),4.2,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/04/bta16-600-352x225.jpg
BTA16-800  16A 800V    (54858),4.5,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/08/TO-220-AB-352x225.jpg
BTA316 16A 800V TO220   (44315),3.9,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/04/s-l500-1-352x225.jpg
BTA41-600B   (44530),10.5,სიმისტორები,https://store.edison.ge/wp-content/uploads/2021/04/bta-41-600-352x225.jpg
C04R 74 SN74LVC3G04DCUR   (50470),4.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/08/Texas_Instruments-SN74LVC3G04DCUR-image-352x225.png
C2073   (43170),2.5,NPN,https://store.edison.ge/wp-content/uploads/2021/03/TO-220-AB-352x225.jpg
CBB60 კონდენსატორი 450V   1UF – 35UF (8676),4.0,კონდენსატორები,https://store.edison.ge/wp-content/uploads/2019/01/20190125_153844-352x225.jpg
CBB61 კონდენსატორი 450V   1UF – 20UF   (51998),2.9,კონდენსატორები,https://store.edison.ge/wp-content/uploads/2021/09/d064af2fa6aea55975889b056e78e60d-352x225.jpg
CDRH104R    33uH(330) 1.8A   (14012),2.5,ინდუქტორები,https://store.edison.ge/wp-content/uploads/2019/07/CDRH104R-225x225.jpg
ETH3006 fast recovery diode TO-220   (48310),15.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/06/mbr-1060-352x225.jpg
ICE3B0365   (43690),8.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/04/24c02-dip-8-eeprom-ic-2kb-i2c-eeprom-ics-atmel-14933-71-B-1-352x225.jpg
LA78040   (47759),5.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/06/la78040-352x225.jpg
LA78041   (47761),5.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/06/la78040-352x225.jpg
LNK306GN   (50053),5.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/08/F5254218-01-352x225.jpg
LNK623PG   (54863),3.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/11/Ha036e101677f45b3afd487a6d1cca22fK-352x225.jpg
LTC4054ES5-4.2   LTH7    (54502),0.5,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/11/battery-charge-controller-lth7-for-china-tablet-pc-10-7-8-9-tablets-lth7-2yl1-2yl2-2yl3-2yl4-2yl5-2tl6-ln5060-ltc4054-mcp73812-ltc4054-ltc4054es5-c02gd-352x225.jpg
